Category,Resume
Data Science,Data scientist with 3 years experience in Python and Machine Learning. Expert in SQL and Tableau.
Data Science,Machine Learning Engineer specialized in Neural Networks and Deep Learning using TensorFlow and PyTorch.
Data Science,Data Analyst proficient in R and Python for statistical modeling and predictive analytics.
Data Science,Experienced in building recommendation engines and natural language processing pipelines.
Data Science,Strong background in big data tools like Spark and Hadoop for large scale data processing.
HR,Human Resources Manager with a focus on talent acquisition and employee relations.
HR,HR Specialist experienced in payroll processing and benefits administration.
HR,Recruiter with 5 years experience in technical hiring and cultural fit assessment.
HR,Corporate HR professional skilled in conflict resolution and performance management.
HR,Personnel manager with expertise in labor laws and workforce planning strategies.
Advocate,Legal consultant providing advice on corporate law and contract negotiations.
Advocate,Professional advocate with experience in criminal litigation and courtroom representation.
Advocate,Legal advisor specializing in intellectual property rights and patent filing.
Advocate,Attorney at law with a history of successful mediation and dispute resolution.
Advocate,Expert in constitutional law and human rights advocacy for non-profit organizations.
Web Designing,Frontend developer skilled in HTML5 CSS3 and JavaScript frameworks like React and Vue.
Web Designing,UI/UX Designer focused on creating responsive web designs and mobile-first interfaces.
Web Designing,Web developer with expertise in WordPress and backend integration using Node.js.
Web Designing,Graphic designer turned web designer with strong skills in Adobe Creative Suite and Figma.
Web Designing,Full stack web developer proficient in Django and modern CSS frameworks like Tailwind.`1`1
